Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Wetland: Estuarine Forested,24,24,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.161,,,,,
,,,,,Wetland: Estuarine Forested,24,24,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1489,,,,,
,,,,,Wetland: Estuarine Forested,25,25,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0739,,,,,
,,,,,Wetland: Estuarine Forested,25,25,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3112,,,,,
,,,,,Wetland: Estuarine Forested,25,25,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3121,,,,,
,,,,,Wetland: Estuarine Forested,25,25,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1537,,,,,
,,,,,Wetland: Estuarine Forested,25,25,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1491,,,,,
,,,,,Wetland: Estuarine Forested,26,26,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0725,,,,,
,,,,,Wetland: Estuarine Forested,26,26,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3141,,,,,
,,,,,Wetland: Estuarine Forested,26,26,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3184,,,,,
,,,,,Wetland: Estuarine Forested,26,26,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1459,,,,,
,,,,,Wetland: Estuarine Forested,26,26,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1491,,,,,
,,,,,Wetland: Estuarine Forested,27,27,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0712,,,,,
,,,,,Wetland: Estuarine Forested,27,27,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3167,,,,,
,,,,,Wetland: Estuarine Forested,27,27,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3242,,,,,
,,,,,Wetland: Estuarine Forested,27,27,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1388,,,,,
,,,,,Wetland: Estuarine Forested,27,27,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1491,,,,,
,,,,,Wetland: Estuarine Forested,28,28,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0702,,,,,
,,,,,Wetland: Estuarine Forested,28,28,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3185,,,,,
,,,,,Wetland: Estuarine Forested,28,28,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3291,,,,,
,,,,,Wetland: Estuarine Forested,28,28,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1331,,,,,
,,,,,Wetland: Estuarine Forested,28,28,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1492,,,,,
,,,,,Wetland: Estuarine Forested,29,29,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0689,,,,,
,,,,,Wetland: Estuarine Forested,29,29,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3213,,,,,
,,,,,Wetland: Estuarine Forested,29,29,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3346,,,,,
,,,,,Wetland: Estuarine Forested,29,29,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1261,,,,,
,,,,,Wetland: Estuarine Forested,29,29,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.149,,,,,
,,,,,Wetland: Estuarine Forested,30,30,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0679,,,,,
,,,,,Wetland: Estuarine Forested,30,30,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3234,,,,,
,,,,,Wetland: Estuarine Forested,30,30,Net Growth Forest: Atmosphere -> Foliage [Type],,0.3393,,,,,
,,,,,Wetland: Estuarine Forested,30,30,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1204,,,,,
,,,,,Wetland: Estuarine Forested,30,30,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1489,,,,,
,,,,,Wetland: Estuarine Forested,31,31,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.067,,,,,
